ID,Severity,Start_Lat,Start_Lng,StartTime,EndTime,Distance(mi),DelayFromTypicalTraffic(mins),DelayFromFreeFlowSpeed(mins),Congestion_Speed,Description,Street,City,County,State,Country,ZipCode,LocalTimeZone,WeatherStation_AirportCode,WeatherTimeStamp,Temperature(F),WindChill(F),Humidity(%),Pressure(in),Visibility(mi),WindDir,WindSpeed(mph),Precipitation(in),Weather_Event,Weather_Conditions
C-11464039,2,34.053421,-118.258423,2022-06-22 22:58:00+00:00,2022-06-22 23:39:16+00:00,2.7699999809265137,2.0,5.0,Moderate,Delays of five minutes on CA-110 Westbound between Exits 24B 24C 24D Hill St and I-110. Average speed 15 mph.,CA-110 S,Los Angeles,Los Angeles,CA,US,90017,US/Pacific,KCQT,2022-06-22T18:47:00.000-04:00,77.0,77.0,48.0,29.67,10.0,WSW,3.0,0.0,,Fair
C-9130917,0,33.94286,-118.404633,2022-04-21 05:37:00+00:00,2022-04-21 07:01:43+00:00,0.0,0.0,1.0,Slow,Delays of one minute and delays easing on World Way Southbound in Westchester. Average speed five mph.,World Way,Los Angeles,Los Angeles,CA,US,90045-5814,US/Pacific,KLAX,2022-04-21T01:53:00.000-04:00,56.0,56.0,80.0,29.89,10.0,WSW,13.0,0.0,,Fair
C-8527488,0,34.088947,-118.259377,2022-02-04 23:27:00+00:00,2022-02-05 00:30:04+00:00,1.8999999761581416,0.0,3.0,Moderate,Delays of three minutes and delays increasing on CA-2 Glendale Blvd Eastbound between Bellevue Ave and CA-2 Glendale Blvd. Average speed ten mph.,Glendale Blvd,Los Angeles,Los Angeles,CA,US,90026-1762,US/Pacific,KCQT,2022-02-04T17:57:00.000-05:00,68.0,68.0,14.0,30.07,10.0,CALM,0.0,0.0,,Fair
C-2405128,2,34.003593,-118.152283,2022-08-10 19:03:00+00:00,2022-08-10 19:44:27+00:00,6.360000133514402,5.0,6.0,Moderate,Delays of six minutes on I-5 Southbound between Exits 134A 134B I-10 Exit 16A and Exit 128B Washington Blvd. Average speed 20 mph.,I-5 S,Los Angeles,Los Angeles,CA,US,90040,US/Pacific,KCQT,2022-08-10T14:47:00.000-04:00,91.0,91.0,33.0,29.79,10.0,CALM,0.0,0.0,,Fair
C-18588958,2,34.027214,-118.209572,2022-03-03 16:14:00+00:00,2022-03-03 17:28:47+00:00,4.9099998474121085,5.0,8.0,Moderate,Delays of eight minutes and delays increasing on I-5 Northbound between Exit 130A Telegraph Rd and Exits 134A 134B I-10 Exit 16A. Average speed 15 mph.,I-5 N,Los Angeles,Los Angeles,CA,US,90023,US/Pacific,KCQT,2022-03-03T11:08:00.000-05:00,54.0,54.0,86.0,29.73,3.0,CALM,0.0,0.0,,Fair
C-19810107,0,34.058029,-118.362877,2022-08-23 15:07:00+00:00,2022-08-23 15:54:34+00:00,0.5299999713897705,2.0,2.0,Slow,Delays of two minutes and delays increasing on Olympic Blvd Westbound between Curson Ave and San Vicente Blvd. Average speed five mph.,San Vicente Blvd,Los Angeles,Los Angeles,CA,US,90036,US/Pacific,KCQT,2022-08-23T10:47:00.000-04:00,67.0,67.0,87.0,29.62,4.0,CALM,0.0,0.0,,Fair
C-14122524,1,33.982315,-118.131462,2022-06-08 20:18:00+00:00,2022-06-08 21:14:57+00:00,4.190000057220459,2.0,4.0,Fast,Delays of four minutes on I-5 Southbound between Exit 130A Triggs St and Exit 126B Slauson Ave. Average speed 25 mph.,I-5,Los Angeles,Los Angeles,CA,US,90040,US/Pacific,KCQT,2022-06-08T16:47:00.000-04:00,72.0,,68.0,29.61,10.0,,,0.0,,Fair
C-32077866,1,33.959969,-118.281113,2022-07-09 20:30:00+00:00,2022-07-09 21:15:17+00:00,6.019999980926514,0.0,3.0,Fast,Delays of three minutes on I-110 Southbound in Southeast Los Angeles. Average speed 35 mph.,W Manchester Ave,Los Angeles,Los Angeles,CA,US,90003,US/Pacific,KHHR,2022-07-09T16:53:00.000-04:00,74.0,74.0,62.0,30.01,10.0,WNW,9.0,0.0,,Fair
C-6195938,0,33.942719,-118.405907,2022-07-29 16:32:00+00:00,2022-07-29 17:43:46+00:00,1.2699999809265137,3.0,3.0,Slow,Delays of three minutes and delays easing on World Way Southbound between Century Blvd and West Way. Average speed five mph.,World Way,Los Angeles,Los Angeles,CA,US,90045-5811,US/Pacific,KLAX,2022-07-29T12:53:00.000-04:00,75.0,75.0,62.0,29.79,10.0,SE,5.0,0.0,,Fair
C-5495210,1,34.032146000000004,-118.38888500000002,2022-01-28 20:48:00+00:00,2022-01-28 21:35:49+00:00,2.5799999237060547,0.0,2.0,Fast,Delays of two minutes and delays easing on I-10 Westbound between Exit 7B Washington Blvd and Exit 5 National Blvd. Average speed 25 mph.,I-10 W,Los Angeles,Los Angeles,CA,US,90034,US/Pacific,KSMO,2022-01-28T15:51:00.000-05:00,73.0,73.0,10.0,30.03,10.0,ENE,5.0,0.0,,Fair
C-19837496,0,33.957272,-118.416809,2022-08-20 22:14:00+00:00,2022-08-20 22:57:13+00:00,1.25,2.0,2.0,Moderate,Delays of two minutes on CA-1 Lincoln Blvd Eastbound between Bluff Creek Dr and CA-1 Lincoln Blvd. Average speed ten mph.,Lincoln Blvd,Los Angeles,Los Angeles,CA,US,90045-3552,US/Pacific,KLAX,2022-08-20T17:53:00.000-04:00,77.0,77.0,64.0,29.73,10.0,W,12.0,0.0,,Fair
C-17028136,0,33.959705,-118.419159,2022-05-11 23:38:00+00:00,2022-05-12 00:20:48+00:00,0.9800000190734864,1.0,2.0,Moderate,Delays of two minutes on CA-1 Lincoln Blvd Eastbound between Bluff Creek Dr and CA-1 Lincoln Blvd. Average speed ten mph.,Lincoln Blvd,Los Angeles,Los Angeles,CA,US,90045,US/Pacific,KLAX,2022-05-11T19:53:00.000-04:00,64.0,64.0,43.0,29.98,10.0,W,28.0,0.0,,Fair / Windy
C-7465977,1,34.088879,-118.236801,2022-02-10 19:44:00+00:00,2022-02-10 20:45:48+00:00,2.7100000381469727,3.0,3.0,Slow,Delays of three minutes and delays easing on I-5 Northbound between Exits 136A 136B 137A 137B CA-110 Exit 26A and Exit 138 CA-2. Average speed 20 mph.,Golden State Fwy N,Los Angeles,Los Angeles,CA,US,90031,US/Pacific,KCQT,2022-02-10T14:47:00.000-05:00,80.0,80.0,17.0,29.85,10.0,CALM,0.0,0.0,,Fair
C-7686766,1,34.110432,-118.335999,2022-05-04 01:09:00+00:00,2022-05-04 02:40:02+00:00,1.820000052452088,6.0,8.0,Slow,Delays of eight minutes on Highland Ave Northbound in Hollywood. Average speed five mph.,N Highland Ave,Los Angeles,Los Angeles,CA,US,90068-2743,US/Pacific,KBUR,2022-05-03T20:53:00.000-04:00,70.0,70.0,55.0,29.03,10.0,S,9.0,0.0,,Fair
C-7860205,2,33.972115,-118.123009,2022-08-16 20:47:00+00:00,2022-08-16 21:39:22+00:00,7.03000020980835,8.0,9.0,Moderate,Delays of nine minutes and delays increasing on I-5 Northbound between Exit 122 Imperial Hwy and Exit 126B Telegraph Rd. Average speed 20 mph.,I-5 N,Los Angeles,Los Angeles,CA,US,90040,US/Pacific,KCQT,2022-08-16T16:47:00.000-04:00,83.0,,46.0,29.59,10.0,,,0.0,,Fair
C-13109225,0,34.033943,-118.389503,2022-03-22 14:49:00+00:00,2022-03-22 15:59:15+00:00,1.6699999570846558,2.0,3.0,Moderate,Delays of three minutes and delays easing on Robertson Blvd Southbound between Robertson Blvd and Kramerwood Pl. Average speed ten mph.,Robertson Pl,Los Angeles,Los Angeles,CA,US,90034-3121,US/Pacific,KSMO,2022-03-22T10:51:00.000-04:00,57.0,57.0,77.0,29.88,10.0,CALM,0.0,0.0,,Fair
C-22461684,1,34.036049,-118.219879,2022-09-05 01:34:00+00:00,2022-09-05 02:17:35+00:00,3.4600000381469727,1.0,3.0,Moderate,Delays of three minutes on I-5 Northbound between Exits 131 131B Ditman Ave and I-10. Average speed 20 mph.,I-5 N,Los Angeles,Los Angeles,CA,US,90023,US/Pacific,KCQT,2022-09-04T21:47:00.000-04:00,86.0,86.0,41.0,29.57,10.0,CALM,0.0,0.0,,Fair
C-20262558,1,33.979744000000004,-118.128883,2022-07-27 15:59:00+00:00,2022-07-27 16:41:18+00:00,1.440000057220459,0.0,1.0,Fast,Delays of one minute on I-5 Southbound between Exit 128B Washington Blvd and Exit 126B Slauson Ave. Average speed 20 mph.,I-5,Los Angeles,Los Angeles,CA,US,90040,US/Pacific,KCQT,2022-07-27T11:47:00.000-04:00,67.0,67.0,79.0,29.79,8.0,CALM,0.0,0.0,,Cloudy
C-5487659,0,34.047523,-118.44471,2022-01-28 23:19:00+00:00,2022-01-29 00:40:59+00:00,1.4500000476837158,1.0,3.0,Slow,Delays of three minutes and delays increasing on CA-2 Santa Monica Blvd Eastbound between CA-2 Santa Monica Blvd and Sepulveda Blvd. Average speed ten mph.,Santa Monica Blvd,Los Angeles,Los Angeles,CA,US,90025-3390,US/Pacific,KSMO,2022-01-28T17:51:00.000-05:00,75.0,75.0,9.0,29.98,10.0,E,6.0,0.0,,Fair
C-8131314,2,34.08186,-118.224083,2022-03-17 15:19:00+00:00,2022-03-17 16:16:46+00:00,8.619999885559082,6.0,7.0,Fast,Delays of seven minutes and delays increasing on I-5 Southbound between Exit 142 Elk Ave and Exit 135C I-10 Exits 19A 19C. Average speed 25 mph.,Golden State Fwy S,Los Angeles,Los Angeles,CA,US,90065,US/Pacific,KCQT,2022-03-17T11:47:00.000-04:00,61.0,61.0,75.0,29.85,8.0,CALM,0.0,0.0,,Fair
C-1106680,0,34.098,-118.364853,2022-02-03 01:11:00+00:00,2022-02-03 01:54:07+00:00,1.6799999475479126,1.0,3.0,Slow,Delays of three minutes on Sunset Blvd Eastbound between Sherbourne Dr and Laurel Canyon Blvd. Average speed ten mph.,W Sunset Blvd,Los Angeles,Los Angeles,CA,US,90046-2402,US/Pacific,KBUR,2022-02-02T19:53:00.000-05:00,64.0,64.0,6.0,29.14,10.0,N,8.0,0.0,,Fair
C-4042182,1,34.035446,-118.370934,2022-06-18 01:04:00+00:00,2022-06-18 01:47:25+00:00,0.6000000238418579,0.0,1.0,Fast,Delays of one minute on I-10 Eastbound between Exit 7B Washington Blvd and Exit 8 La Brea Ave. Average speed ten mph.,Rosa Parks Fwy,Los Angeles,Los Angeles,CA,US,90034,US/Pacific,KSMO,2022-06-17T20:51:00.000-04:00,68.0,68.0,56.0,29.64,10.0,WSW,10.0,0.0,,Fair
C-12877024,2,34.060757,-118.247047,2022-04-26 12:52:00+00:00,2022-04-26 14:15:41+00:00,9.890000343322754,10.0,13.0,Moderate,Severe delays of 13 minutes and delays increasing on US-101 Northbound between I-5 and Exit 4A Bellevue Ave. Average speed 20 mph.,Santa Ana Fwy N,Los Angeles,Los Angeles,CA,US,90012,US/Pacific,KCQT,2022-04-26T08:47:00.000-04:00,60.0,60.0,69.0,29.69,10.0,VAR,5.0,0.0,,Fair
C-6220886,2,34.0345,-118.343903,2022-07-27 19:56:00+00:00,2022-07-27 21:33:28+00:00,6.5,5.0,7.0,Fast,Delays of seven minutes and delays increasing on I-10 Eastbound between Exit 4 Overland Ave and Exit 9 Crenshaw Blvd. Average speed 25 mph.,Rosa Parks Fwy,Los Angeles,Los Angeles,CA,US,90016,US/Pacific,KSMO,2022-07-27T15:51:00.000-04:00,72.0,72.0,66.0,29.78,10.0,SW,9.0,0.0,,Fair
C-30954889,1,34.116581,-118.271919,2022-03-24 20:43:00+00:00,2022-03-24 22:46:45+00:00,2.5,2.0,5.0,Moderate,Delays of five minutes and delays increasing on Los Feliz Blvd Eastbound in Atwater. Average speed ten mph.,Los Feliz Blvd,Los Angeles,Los Angeles,CA,US,90027-2404,US/Pacific,KCQT,2022-03-24T15:47:00.000-04:00,76.0,76.0,40.0,29.82,10.0,CALM,0.0,0.0,,Fair
C-198804,1,34.05336,-118.258469,2022-08-11 05:42:00+00:00,2022-08-11 06:24:26+00:00,1.6599999666213991,1.0,1.0,Moderate,Delays of one minute on CA-110 Westbound between US-101 Exits 3 3A 3B and I-110. Average speed 20 mph.,CA-110 N,Los Angeles,Los Angeles,CA,US,90071,US/Pacific,KCQT,2022-08-11T01:47:00.000-04:00,73.0,73.0,61.0,29.79,10.0,CALM,0.0,0.0,,Fair
C-8124740,2,34.080383000000005,-118.221603,2022-03-18 00:41:00+00:00,2022-03-18 01:33:10+00:00,7.6599998474121085,0.0,8.0,Fast,Delays of eight minutes and delays increasing on I-5 Southbound between Exit 142 Elk Ave and Exit 135C I-10 Exits 19A 19C. Average speed 20 mph.,Golden State Fwy S,Los Angeles,Los Angeles,CA,US,90031,US/Pacific,KCQT,2022-03-17T20:47:00.000-04:00,73.0,73.0,24.0,29.78,10.0,CALM,0.0,0.0,,Fair
C-8126724,2,34.060398,-118.215134,2022-03-17 22:01:00+00:00,2022-03-17 23:41:39+00:00,12.640000343322756,10.0,20.0,Moderate,Severe delays of 20 minutes and delays increasing on I-5 Southbound between Exits 144 144A CA-134 Exits 5 6 and I-10. Average speed 15 mph.,Golden State Fwy S,Los Angeles,Los Angeles,CA,US,90031,US/Pacific,KCQT,2022-03-17T17:47:00.000-04:00,77.0,77.0,21.0,29.81,10.0,VAR,5.0,0.0,,Fair
C-22575091,1,34.04042800000001,-118.427872,2022-08-19 00:04:00+00:00,2022-08-19 00:57:08+00:00,2.1400001049041752,1.0,5.0,Slow,Delays of five minutes and delays easing on Pico Blvd Eastbound between Granville Ave and Glendon Ave. Average speed ten mph.,W Pico Blvd,Los Angeles,Los Angeles,CA,US,90064-2105,US/Pacific,KSMO,2022-08-18T19:51:00.000-04:00,65.0,65.0,78.0,29.68,10.0,WSW,9.0,0.0,,Mostly Cloudy
C-7706987,1,34.01305,-118.165184,2022-05-01 22:31:00+00:00,2022-05-01 23:12:48+00:00,3.2799999713897705,0.0,2.0,Fast,Delays of two minutes on I-5 Southbound between Beswick St and Exit 130A Triggs St. Average speed 25 mph.,I-5 S,Los Angeles,Los Angeles,CA,US,90022,US/Pacific,KCQT,2022-05-01T18:47:00.000-04:00,68.0,68.0,59.0,29.62,10.0,VAR,3.0,0.0,,Fair
C-13394506,0,34.073212,-118.374992,2022-02-26 00:52:00+00:00,2022-02-26 01:33:30+00:00,0.8299999833106995,1.0,2.0,Slow,Delays of two minutes on 3rd St Eastbound in Fairfax. Average speed five mph.,W 3rd St,Los Angeles,Los Angeles,CA,US,90048-4124,US/Pacific,KSMO,2022-02-25T19:51:00.000-05:00,57.0,57.0,47.0,29.96,10.0,SW,9.0,0.0,,Fair
C-22652987,1,34.052662,-118.225288,2022-06-30 16:47:00+00:00,2022-06-30 17:29:38+00:00,0.6600000262260437,0.0,2.0,Slow,Delays of two minutes on San Bernardino Fwy Westbound between Exit 19 I-10 Exits 19A 19C and US-101. Average speed ten mph.,San Bernardino Fwy W,Los Angeles,Los Angeles,CA,US,90033,US/Pacific,KCQT,2022-06-30T12:47:00.000-04:00,75.0,75.0,57.0,29.81,10.0,CALM,0.0,0.0,,Fair
C-28547299,1,34.097721,-118.31414,2022-05-17 14:54:00+00:00,2022-05-17 15:58:45+00:00,2.440000057220459,1.0,2.0,Moderate,Delays of two minutes and delays easing on US-101 Northbound between Exit 6B Melrose Ave and Exit 8A Sunset Blvd. Average speed 25 mph.,US-101,Los Angeles,Los Angeles,CA,US,90028,US/Pacific,KCQT,2022-05-17T10:47:00.000-04:00,60.0,60.0,78.0,29.78,10.0,SSE,3.0,0.0,,Cloudy
C-23747414,1,34.051990999999994,-118.366638,2022-09-07 23:10:00+00:00,2022-09-08 00:06:20+00:00,2.5799999237060547,3.0,6.0,Slow,Delays of six minutes and delays increasing on Fairfax Ave Southbound in Pico. Average speed ten mph.,S Fairfax Ave,Los Angeles,Los Angeles,CA,US,90019-4436,US/Pacific,KCQT,2022-09-07T18:47:00.000-04:00,89.0,89.0,43.0,29.67,10.0,WSW,6.0,0.0,,Fair
C-2406608,2,34.072361,-118.234619,2022-08-10 15:59:00+00:00,2022-08-10 17:02:24+00:00,12.31999969482422,4.0,19.0,Moderate,Severe delays of 19 minutes and delays easing on I-110 Northbound between Grand Ave and CA-110. Average speed 15 mph.,Arroyo Seco Pkwy,Los Angeles,Los Angeles,CA,US,90012,US/Pacific,KCQT,2022-08-10T11:47:00.000-04:00,80.0,80.0,54.0,29.79,10.0,CALM,0.0,0.0,,Fair
C-24217785,1,34.122066,-118.340576,2022-07-22 00:47:00+00:00,2022-07-22 02:04:40+00:00,3.619999885559082,2.0,3.0,Fast,Delays of three minutes and delays increasing on US-101 Southbound between Exits 12B 12C Vineland Ave and Exits 9A 9B 9C 11A Odin St. Average speed 25 mph.,Hollywood Fwy S,Los Angeles,Los Angeles,CA,US,90068,US/Pacific,KBUR,2022-07-21T20:53:00.000-04:00,84.0,84.0,41.0,29.06,10.0,S,12.0,0.0,,Fair
C-12342252,1,34.051071,-118.223114,2022-02-06 18:10:00+00:00,2022-02-06 18:53:43+00:00,2.0,2.0,2.0,Fast,Delays of two minutes on US-101 Northbound between I-5 Exits 134A 134B and San Bernardino Fwy. Average speed 20 mph.,Santa Ana Fwy N,Los Angeles,Los Angeles,CA,US,90033,US/Pacific,KCQT,2022-02-06T12:57:00.000-05:00,66.0,66.0,,,10.0,CALM,0.0,0.0,,Fair
C-6182467,2,34.052662,-118.225288,2022-07-30 20:48:00+00:00,2022-07-30 21:42:33+00:00,1.0099999904632568,2.0,3.0,Slow,Delays of three minutes and delays easing on San Bernardino Fwy Westbound between Exit 19 I-10 Exits 19A 19C and US-101. Average speed ten mph.,San Bernardino Fwy W,Los Angeles,Los Angeles,CA,US,90033,US/Pacific,KCQT,2022-07-30T16:47:00.000-04:00,78.0,78.0,60.0,29.71,10.0,WSW,3.0,0.0,,Fair
C-22671467,1,34.024525,-118.203194,2022-06-28 18:00:00+00:00,2022-06-28 18:46:21+00:00,1.950000047683716,1.0,2.0,Moderate,Delays of two minutes on I-5 Northbound between Downey Rd and Exit 133 Atlantic St. Average speed 20 mph.,S Lorena St,Los Angeles,Los Angeles,CA,US,90023-2222,US/Pacific,KCQT,2022-06-28T13:47:00.000-04:00,87.0,87.0,41.0,29.79,10.0,CALM,0.0,0.0,,Fair
C-18559367,1,34.088165000000004,-118.235703,2022-03-05 18:01:00+00:00,2022-03-05 18:49:18+00:00,2.0299999713897705,1.0,1.0,Moderate,Delays of one minute and delays easing on I-5 Northbound between Exits 136A 136B 137A 137B CA-110 Exit 26A and Exit 138 CA-2. Average speed 25 mph.,Golden State Fwy N,Los Angeles,Los Angeles,CA,US,90031,US/Pacific,KCQT,2022-03-05T12:47:00.000-05:00,56.0,56.0,51.0,29.87,10.0,CALM,0.0,0.0,,Fair
C-167249,1,33.982315,-118.131462,2022-08-13 16:16:00+00:00,2022-08-13 17:05:20+00:00,5.130000114440918,3.0,3.0,Fast,Delays of three minutes and delays easing on I-5 Southbound between I-710 and Exit 126B Slauson Ave. Average speed 30 mph.,I-5,Los Angeles,Los Angeles,CA,US,90040,US/Pacific,KCQT,2022-08-13T11:47:00.000-04:00,79.0,79.0,54.0,29.72,10.0,CALM,0.0,0.0,,Fair
C-25407061,2,34.021609999999995,-118.425797,2022-02-03 21:16:00+00:00,2022-02-03 22:06:49+00:00,5.610000133514403,1.0,3.0,Fast,Delays of three minutes and delays easing on I-405 Northbound between Exits 49 49A Howard Hughes Pkwy and Exit 53A National Blvd. Average speed 30 mph.,I-405 N,Los Angeles,Los Angeles,CA,US,90034,US/Pacific,KSMO,2022-02-03T15:51:00.000-05:00,62.0,62.0,26.0,30.0,10.0,SW,10.0,0.0,,Fair
C-8135006,1,34.000546,-118.149292,2022-03-17 15:48:00+00:00,2022-03-17 16:29:46+00:00,1.5099999904632568,1.0,1.0,Fast,Delays of one minute on I-5 Southbound between Exit 130A Triggs St and Exit 128B Washington Blvd. Average speed 20 mph.,I-5 S,Los Angeles,Los Angeles,CA,US,90040,US/Pacific,KCQT,2022-03-17T11:47:00.000-04:00,61.0,61.0,75.0,29.85,8.0,CALM,0.0,0.0,,Fair
C-186764,1,34.15527,-118.289268,2022-08-12 01:13:00+00:00,2022-08-12 02:08:20+00:00,2.650000095367432,1.0,2.0,Fast,Delays of two minutes on I-5 Southbound between Exit 146A Front St and Exits 144 144A CA-134 Exits 5 6. Average speed 20 mph.,Golden State Fwy S,Los Angeles,Los Angeles,CA,US,90027,US/Pacific,KCQT,2022-08-11T20:47:00.000-04:00,79.0,79.0,45.0,29.7,10.0,VAR,6.0,0.0,,Fair
C-10268858,1,34.05603,-118.256157,2022-01-10 15:28:00+00:00,2022-01-10 16:41:02+00:00,3.4500000476837163,2.0,4.0,Moderate,Delays of four minutes and delays easing on CA-110 Westbound between Exit 26B Figueroa St and I-110. Average speed 20 mph.,CA-110 S,Los Angeles,Los Angeles,CA,US,90017,US/Pacific,KCQT,2022-01-10T10:52:00.000-05:00,55.0,55.0,34.0,30.12,10.0,NE,3.0,0.0,,Fair
C-1103459,2,33.998299,-118.280617,2022-02-03 01:59:00+00:00,2022-02-03 02:44:57+00:00,7.360000133514402,4.0,6.0,Moderate,Delays of six minutes and delays increasing on I-110 Northbound between Exit 14B I-105 and Exits 19 19A 19B Grand Ave. Average speed 25 mph.,W 49th St,Los Angeles,Los Angeles,CA,US,90037,US/Pacific,KCQT,2022-02-02T17:52:00.000-05:00,65.0,65.0,21.0,29.75,10.0,CALM,0.0,0.0,,Fair
C-23560073,2,34.053421,-118.258423,2022-04-15 21:46:00+00:00,2022-04-15 23:07:42+00:00,3.7799999713897705,9.0,10.0,Slow,Severe delays of ten minutes and delays easing on CA-110 Westbound between Exit 26B Figueroa St and I-110. Average speed ten mph.,CA-110 S,Los Angeles,Los Angeles,CA,US,90017,US/Pacific,KCQT,2022-04-15T17:47:00.000-04:00,65.0,65.0,56.0,29.75,10.0,W,8.0,0.0,,Fair
C-182861,3,34.088394,-118.475418,2022-08-12 14:32:00+00:00,2022-08-12 16:08:39+00:00,12.880000114440918,0.0,14.0,Moderate,Severe delays of 14 minutes and delays increasing on I-405 Southbound between Exits 66A 66B Sherman Way and Exit 57 Church Ln. Average speed 20 mph.,I-405 S,Los Angeles,Los Angeles,CA,US,90049,US/Pacific,KSMO,2022-08-12T10:51:00.000-04:00,68.0,68.0,78.0,29.76,10.0,CALM,0.0,0.0,,Fair
