ID,Severity,Start_Lat,Start_Lng,StartTime,EndTime,Distance(mi),DelayFromTypicalTraffic(mins),DelayFromFreeFlowSpeed(mins),Congestion_Speed,Description,Street,City,County,State,Country,ZipCode,LocalTimeZone,WeatherStation_AirportCode,WeatherTimeStamp,Temperature(F),WindChill(F),Humidity(%),Pressure(in),Visibility(mi),WindDir,WindSpeed(mph),Precipitation(in),Weather_Event,Weather_Conditions
C-6936512,0,40.735931,-73.993668,2022-03-02 17:23:00+00:00,2022-03-02 18:03:14+00:00,1.9900000095367432,0.0,3.0,Slow,Delays of three minutes on 5th Ave Southbound between 38th St and 13th St. Average speed ten mph.,W 14th St,New York,New York,NY,US,10011-7501,US/Eastern,KNYC,2022-03-02T12:51:00.000-05:00,47.0,44.0,41.0,29.89,10.0,VAR,6.0,0.0,,Fair
C-180926,0,40.736298,-73.99762,2022-08-12 18:01:00+00:00,2022-08-12 18:42:55+00:00,1.190000057220459,0.0,1.0,Slow,Delays of one minute on 6th Ave Northbound between Prince St and 13th St. Average speed ten mph.,Avenue of the Americas,New York,New York,NY,US,10011-8404,US/Eastern,KNYC,2022-08-12T13:51:00.000-04:00,83.0,83.0,28.0,29.89,10.0,ENE,9.0,0.0,,Fair
C-12161167,0,40.736488,-73.981873,2022-03-07 13:09:00+00:00,2022-03-07 13:59:01+00:00,0.6299999952316284,1.0,2.0,Slow,Delays of two minutes and delays easing on 2nd Ave Southbound between 28th St and 20th St. Average speed five mph.,2nd Ave,New York,New York,NY,US,10010-6447,US/Eastern,KNYC,2022-03-07T07:51:00.000-05:00,61.0,61.0,67.0,29.78,10.0,CALM,0.0,0.0,,Cloudy
C-17038568,0,40.764904,-73.991638,2022-05-11 12:44:00+00:00,2022-05-11 13:28:25+00:00,1.6599999666213991,2.0,3.0,Slow,Delays of three minutes on 10th Ave Northbound between NY-495 Lincoln Tunnel Expy and 51st St. Average speed ten mph.,10th Ave,New York,New York,NY,US,10019-7103,US/Eastern,KNYC,2022-05-11T08:51:00.000-04:00,59.0,59.0,29.0,30.19,10.0,ENE,14.0,0.0,,Mostly Cloudy
C-22682043,0,40.750099,-73.974915,2022-06-27 14:14:00+00:00,2022-06-27 14:55:10+00:00,0.8299999833106995,1.0,3.0,Slow,Delays of three minutes on 3rd Ave Northbound between 31st St and 42nd St. Average speed five mph.,E 41st St,New York,New York,NY,US,10017-5521,US/Eastern,KNYC,2022-06-27T10:05:00.000-04:00,73.0,73.0,87.0,29.85,4.0,WSW,6.0,0.01,,Light Rain
C-13382716,0,40.745098,-73.97567,2022-02-27 20:01:00+00:00,2022-02-27 20:43:17+00:00,0.6399999856948853,1.0,1.0,Slow,Delays of one minute on 2nd Ave Southbound between 42nd St and 34th St. Average speed five mph.,2nd Ave,New York,New York,NY,US,10016-4806,US/Eastern,KNYC,2022-02-27T14:51:00.000-05:00,47.0,40.0,25.0,29.76,10.0,W,16.0,0.0,,Fair
C-12327743,1,40.759701,-73.957802,2022-02-08 13:09:00+00:00,2022-02-08 13:49:15+00:00,1.0599999427795408,2.0,2.0,Moderate,Delays of two minutes on Fdr Dr Northbound between Exit 8 Fdr Dr Service Rd and 62nd St. Average speed ten mph.,FDR Dr N,New York,New York,NY,US,10065,US/Eastern,KNYC,2022-02-08T07:51:00.000-05:00,35.0,29.0,89.0,29.82,10.0,WNW,8.0,0.0,,Fair
C-7517140,1,40.773037,-73.966614,2022-04-04 18:20:00+00:00,2022-04-04 19:00:49+00:00,2.720000028610229,1.0,6.0,Slow,Delays of six minutes on 5th Ave Southbound between 105th St and 72nd St. Average speed ten mph.,5th Ave,New York,New York,NY,US,10021-4113,US/Eastern,KNYC,2022-04-04T13:51:00.000-04:00,53.0,53.0,35.0,29.87,10.0,WNW,8.0,0.0,,Fair
C-26070746,0,40.762749,-73.95970200000002,2022-02-02 13:09:00+00:00,2022-02-02 13:49:18+00:00,0.9200000166893004,3.0,3.0,Slow,Delays of three minutes on 1st Ave Northbound between 53rd St and 65th St. Average speed five mph.,E 64th St,New York,New York,NY,US,10065-6704,US/Eastern,KNYC,2022-02-02T07:51:00.000-05:00,35.0,35.0,85.0,30.37,8.0,CALM,0.0,0.0,,Cloudy
C-9112199,0,40.755592,-73.98722099999998,2022-04-23 19:27:00+00:00,2022-04-23 20:17:15+00:00,1.100000023841858,1.0,2.0,Slow,Delays of two minutes and delays increasing on 7th Ave Southbound between 55th St and 41st St. Average speed five mph.,7th Ave,New York,New York,NY,US,10036-7318,US/Eastern,KNYC,2022-04-23T15:51:00.000-04:00,63.0,63.0,30.0,30.18,2.0,S,9.0,0.0,,Haze
C-22570051,0,40.77441,-73.96560699999998,2022-08-19 15:19:00+00:00,2022-08-19 15:59:50+00:00,1.0700000524520874,0.0,2.0,Moderate,Delays of two minutes on 5th Ave Southbound between 88th St and 75th St. Average speed ten mph.,5th Ave,New York,New York,NY,US,10021-2601,US/Eastern,KNYC,2022-08-19T10:51:00.000-04:00,81.0,81.0,44.0,29.99,10.0,VAR,3.0,0.0,,Fair
C-10231851,2,40.706387,-74.014717,2022-01-14 21:25:00+00:00,2022-01-14 22:08:21+00:00,3.6800000667572017,6.0,7.0,Slow,Delays of seven minutes on I-478 Hugh L Carey Tunnel Northbound between I-278 Brooklyn Queens Expy and West St Exit 2. Average speed ten mph.,Brooklyn Battery Tunl W,New York,New York,NY,US,10006,US/Eastern,KJRB,2022-01-14T16:51:00.000-05:00,36.0,28.0,62.0,29.71,10.0,NNE,10.0,0.0,,Fair
C-25007243,0,40.782223,-73.951515,2022-01-26 22:39:00+00:00,2022-01-26 23:44:12+00:00,2.299999952316284,1.0,3.0,Slow,Delays of three minutes and delays increasing on 3rd Ave Northbound between 63rd St and 91st St. Average speed ten mph.,3rd Ave,New York,New York,NY,US,10128-3618,US/Eastern,KNYC,2022-01-26T17:51:00.000-05:00,25.0,16.0,30.0,30.28,10.0,N,9.0,0.0,,Fair
C-24808782,2,40.701321,-74.01268,2022-04-12 20:42:00+00:00,2022-04-12 21:32:29+00:00,0.9399999976158142,5.0,5.0,Slow,Delays of five minutes on Fdr Dr Southbound between Exit 2 Robert F Wagner Sr Pl and South St. Average speed five mph.,Ferry Terminal,New York,New York,NY,US,10004,US/Eastern,KJRB,2022-04-12T16:51:00.000-04:00,71.0,71.0,32.0,29.9,10.0,VAR,6.0,0.0,,Fair
C-4555541,1,40.752007,-73.981972,2022-06-16 16:37:00+00:00,2022-06-16 17:34:52+00:00,5.369999885559082,1.0,14.0,Slow,Severe delays of 14 minutes and delays increasing on 5th Ave Southbound between 105th St and 39th St. Average speed ten mph.,5th Ave,New York,New York,NY,US,10018-2794,US/Eastern,KNYC,2022-06-16T12:51:00.000-04:00,68.0,68.0,81.0,30.05,10.0,VAR,3.0,0.0,,Cloudy
C-13381958,1,40.738831,-73.97348000000002,2022-02-27 20:56:00+00:00,2022-02-27 21:51:18+00:00,2.5199999809265137,2.0,3.0,Moderate,Delays of three minutes and delays increasing on Fdr Dr Southbound between Exit 12 63rd St and 30th St. Average speed 15 mph.,FDR Dr N,New York,New York,NY,US,10010,US/Eastern,KNYC,2022-02-27T15:51:00.000-05:00,47.0,43.0,27.0,29.74,10.0,W,9.0,0.0,,Fair
C-13108684,2,40.765289,-73.95201899999998,2022-03-22 14:59:00+00:00,2022-03-22 16:11:17+00:00,2.880000114440918,5.0,8.0,Moderate,Delays of eight minutes and delays increasing on Fdr Dr Southbound between Exit 17 Harlem River Dr Exits 17 18 19 and 71st St. Average speed 15 mph.,FDR Dr S,New York,New York,NY,US,10021,US/Eastern,KNYC,2022-03-22T10:51:00.000-04:00,47.0,42.0,24.0,30.1,10.0,WNW,12.0,0.0,,Fair
C-6213818,2,40.850189,-73.94483199999998,2022-07-28 12:34:00+00:00,2022-07-28 13:22:43+00:00,2.3499999046325684,5.0,4.0,Slow,Delays of four minutes and delays increasing on I-95 George Washington Bridge Southbound between Exit 2A Jerome Ave and Exit 1 NY-9A Henry Hudson Pkwy Exits 14 15. Average speed ten mph.,George Washington Brg,New York,New York,NY,US,10033,US/Eastern,KNYC,2022-07-28T08:41:00.000-04:00,77.0,77.0,84.0,29.78,10.0,CALM,0.0,0.0,,Mostly Cloudy
C-7709485,1,40.786869,-73.98336,2022-05-01 15:04:00+00:00,2022-05-01 16:15:00+00:00,2.9200000762939453,3.0,3.0,Moderate,Delays of three minutes and delays easing on Henry Hudson Pkwy Southbound between NY-9A Henry Hudson Pkwy and NY-9A 12th Ave. Average speed 20 mph.,Henry Hudson Pkwy N,New York,New York,NY,US,10024,US/Eastern,KNYC,2022-05-01T10:51:00.000-04:00,63.0,63.0,27.0,30.05,10.0,ENE,7.0,0.0,,Fair
C-13122625,0,40.772369,-73.967117,2022-03-21 13:13:00+00:00,2022-03-21 13:55:06+00:00,1.4099999666213991,1.0,2.0,Slow,Delays of two minutes on 5th Ave Southbound between 88th St and 71st St. Average speed ten mph.,Terrace Dr,New York,New York,NY,US,10023,US/Eastern,KNYC,2022-03-21T08:51:00.000-04:00,46.0,41.0,44.0,30.0,10.0,W,9.0,0.0,,Fair
C-21960322,0,40.756138,-73.970535,2022-08-24 12:44:00+00:00,2022-08-24 13:25:42+00:00,1.1200000047683716,1.0,2.0,Slow,Delays of two minutes on 3rd Ave Northbound between 37th St and 51st St. Average speed ten mph.,3rd Ave,New York,New York,NY,US,10022-7602,US/Eastern,KNYC,2022-08-24T08:51:00.000-04:00,75.0,75.0,66.0,29.88,10.0,VAR,7.0,0.0,,Fair
C-183485,0,40.749081,-73.991989,2022-08-12 15:05:00+00:00,2022-08-12 15:45:45+00:00,0.9700000286102296,0.0,1.0,Slow,Delays of one minute on 7th Ave Southbound between Times Sq and 31st St. Average speed ten mph.,7th Ave,New York,New York,NY,US,10001-3905,US/Eastern,KNYC,2022-08-12T10:51:00.000-04:00,76.0,76.0,45.0,29.92,10.0,VAR,7.0,0.0,,Fair
C-9130013,0,40.773037,-73.966614,2022-04-21 21:57:00+00:00,2022-04-21 22:38:08+00:00,2.440000057220459,0.0,4.0,Slow,Delays of four minutes on 5th Ave Southbound between Central Park and 72nd St. Average speed ten mph.,5th Ave,New York,New York,NY,US,10021-4113,US/Eastern,KNYC,2022-04-21T17:51:00.000-04:00,53.0,53.0,57.0,30.24,10.0,S,9.0,0.0,,Cloudy
C-8107095,0,40.724277,-73.990814,2022-03-19 01:54:00+00:00,2022-03-19 03:23:23+00:00,1.1399999856948853,2.0,2.0,Slow,Delays of two minutes on 2nd Ave Southbound between 15th St and Houston St. Average speed ten mph.,2nd Ave,New York,New York,NY,US,10003-8633,US/Eastern,KJRB,2022-03-18T21:51:00.000-04:00,54.0,54.0,80.0,29.89,8.0,VAR,3.0,0.0,,Mostly Cloudy
C-76157,0,40.735256,-73.994148,2022-03-14 18:22:00+00:00,2022-03-14 19:04:03+00:00,0.9700000286102296,0.0,1.0,Slow,Delays of one minute on 5th Ave Southbound between Broadway and 12th St. Average speed ten mph.,5th Ave,New York,New York,NY,US,10003-4304,US/Eastern,KJRB,2022-03-14T14:51:00.000-04:00,54.0,54.0,31.0,30.27,10.0,SW,9.0,0.0,,Fair
C-18512154,0,40.73867,-73.983246,2022-02-17 22:02:00+00:00,2022-02-17 22:42:18+00:00,0.9499999880790708,1.0,2.0,Slow,Delays of two minutes on 3rd Ave Northbound between 11th St and 23rd St. Average speed ten mph.,3rd Ave,New York,New York,NY,US,10010-5502,US/Eastern,KNYC,2022-02-17T16:51:00.000-05:00,60.0,60.0,57.0,29.82,10.0,VAR,6.0,0.0,,Cloudy
C-2945985,0,40.780369,-73.9468,2022-01-31 21:41:00+00:00,2022-01-31 22:21:25+00:00,1.7899999618530271,0.0,2.0,Slow,Delays of two minutes on 1st Ave Northbound between 70th St and 92nd St. Average speed ten mph.,1st Ave,New York,New York,NY,US,10128-5274,US/Eastern,KNYC,2022-01-31T16:51:00.000-05:00,28.0,23.0,39.0,30.27,10.0,ENE,5.0,0.0,,Fair
C-13046471,1,40.74345,-73.97686800000002,2022-08-04 13:27:00+00:00,2022-08-04 14:07:46+00:00,2.5699999332427983,1.0,6.0,Slow,Delays of six minutes on 2nd Ave Southbound between 64th St and 31st St. Average speed ten mph.,2nd Ave,New York,New York,NY,US,10016-6371,US/Eastern,KNYC,2022-08-04T09:51:00.000-04:00,84.0,84.0,56.0,29.97,10.0,VAR,6.0,0.0,,Fair
C-12310792,1,40.78326,-73.950737,2022-02-09 14:44:00+00:00,2022-02-09 15:39:21+00:00,4.489999771118164,2.0,10.0,Slow,Severe delays of ten minutes and delays increasing on 3rd Ave Northbound between 37th St and 93rd St. Average speed ten mph.,3rd Ave,New York,New York,NY,US,10128-3626,US/Eastern,KNYC,2022-02-09T09:51:00.000-05:00,36.0,32.0,46.0,30.0,10.0,VAR,5.0,0.0,,Fair
C-30727249,0,40.724277,-73.990814,2022-01-20 19:06:00+00:00,2022-01-20 19:46:15+00:00,1.1799999475479126,0.0,2.0,Slow,Delays of two minutes on 2nd Ave Southbound between 2nd Ave and Houston St. Average speed ten mph.,2nd Ave,New York,New York,NY,US,10003-8633,US/Eastern,KJRB,2022-01-20T13:51:00.000-05:00,34.0,27.0,59.0,30.05,10.0,WNW,8.0,0.0,,Cloudy
C-25005441,2,40.838551,-73.93336500000002,2022-01-26 19:28:00+00:00,2022-01-26 20:46:26+00:00,2.6800000667572017,3.0,10.0,Slow,Severe delays of ten minutes and delays increasing on Harlem River Dr Northbound between Exit 21 135th St and Exit 24 I-95 Cross Bronx Expy Exits 2 3. Average speed ten mph.,Harlem River Dr N,New York,New York,NY,US,10032,US/Eastern,KNYC,2022-01-26T14:51:00.000-05:00,26.0,16.0,28.0,30.22,10.0,NW,12.0,0.0,,Fair
C-18588732,1,40.80323,-73.963676,2022-03-03 17:41:00+00:00,2022-03-03 18:49:23+00:00,4.170000076293944,4.0,9.0,Slow,Delays of nine minutes and delays increasing on Amsterdam Ave Northbound in Morningside Heights. Average speed ten mph.,Amsterdam Ave,New York,New York,NY,US,10025-1724,US/Eastern,KNYC,2022-03-03T12:51:00.000-05:00,41.0,34.0,28.0,29.96,10.0,WNW,13.0,0.0,,Fair
C-2438366,2,40.77124,-73.94659399999998,2022-08-07 21:57:00+00:00,2022-08-07 22:44:39+00:00,2.200000047683716,4.0,5.0,Moderate,Delays of five minutes and delays increasing on Fdr Dr Northbound between 1st Ave and Exit 14 96th St. Average speed ten mph.,FDR Dr N,New York,New York,NY,US,10075,US/Eastern,KNYC,2022-08-07T17:51:00.000-04:00,89.0,89.0,52.0,29.96,10.0,CALM,0.0,0.0,,Fair
C-18581331,0,40.789619,-73.973602,2022-03-03 21:32:00+00:00,2022-03-03 22:36:21+00:00,2.039999961853028,1.0,3.0,Slow,Delays of three minutes and delays increasing on Amsterdam Ave Northbound between 64th St and 89th St. Average speed ten mph.,W 89th St,New York,New York,NY,US,10024-1901,US/Eastern,KNYC,2022-03-03T16:51:00.000-05:00,37.0,29.0,23.0,30.06,10.0,WNW,12.0,0.0,,Fair
C-9243988,0,40.792271,-73.944168,2022-07-15 18:47:00+00:00,2022-07-15 19:42:15+00:00,3.0799999237060547,1.0,4.0,Moderate,Delays of four minutes and delays increasing on 3rd Ave Northbound in East Harlem. Average speed ten mph.,E 107th St,New York,New York,NY,US,10029-3903,US/Eastern,KNYC,2022-07-15T14:51:00.000-04:00,84.0,84.0,43.0,30.04,10.0,VAR,6.0,0.0,,Fair
C-22147137,0,40.738873,-73.98311600000002,2022-02-23 20:28:00+00:00,2022-02-23 21:08:13+00:00,1.3400000333786009,0.0,2.0,Slow,Delays of two minutes on 3rd Ave Northbound between Cooper Sq and 24th St. Average speed ten mph.,E 23rd St,New York,New York,NY,US,10010-4605,US/Eastern,KNYC,2022-02-23T15:51:00.000-05:00,65.0,65.0,33.0,29.83,10.0,W,13.0,0.0,,Fair
C-30719342,1,40.789482,-73.94017,2022-01-20 13:22:00+00:00,2022-01-20 14:03:16+00:00,4.110000133514403,5.0,8.0,Slow,Delays of eight minutes on 1st Ave Northbound in East Harlem. Average speed ten mph.,1st Ave,New York,New York,NY,US,10029-4802,US/Eastern,KNYC,2022-01-20T08:33:00.000-05:00,36.0,30.0,93.0,30.0,4.0,N,8.0,0.03,,Light Rain
C-7490626,0,40.753067,-73.972778,2022-04-06 21:14:00+00:00,2022-04-06 21:55:52+00:00,1.1299999952316284,0.0,2.0,Moderate,Delays of two minutes on 3rd Ave Northbound between 32nd St and 46th St. Average speed ten mph.,3rd Ave,New York,New York,NY,US,10017-3201,US/Eastern,KNYC,2022-04-06T16:51:00.000-04:00,53.0,53.0,77.0,29.73,10.0,NE,13.0,0.0,,Cloudy
C-5756382,0,40.74474,-73.99517800000002,2022-08-26 14:04:00+00:00,2022-08-26 15:29:43+00:00,1.0700000524520874,0.0,2.0,Slow,Delays of two minutes on 7th Ave Southbound between 37th St and 23rd St. Average speed ten mph.,7th Ave,New York,New York,NY,US,10011-1821,US/Eastern,KNYC,2022-08-26T09:51:00.000-04:00,82.0,82.0,65.0,29.85,9.0,VAR,3.0,0.0,,Cloudy
C-25022645,1,40.756157,-73.983147,2022-01-25 20:17:00+00:00,2022-01-25 21:05:17+00:00,3.299999952316284,2.0,5.0,Slow,Delays of five minutes and delays increasing on 6th Ave Northbound between Carmine St and 45th St. Average speed ten mph.,W 44th St,New York,New York,NY,US,10036-4011,US/Eastern,KNYC,2022-01-25T14:51:00.000-05:00,42.0,37.0,45.0,29.86,10.0,WNW,8.0,0.0,,Mostly Cloudy
C-11115326,1,40.756851,-73.970016,2022-02-03 17:52:00+00:00,2022-02-03 18:34:13+00:00,3.4200000762939453,1.0,6.0,Slow,Delays of six minutes on 3rd Ave Northbound between Stuyvesant St and 52nd St. Average speed ten mph.,3rd Ave,New York,New York,NY,US,10022-6203,US/Eastern,KNYC,2022-02-03T12:51:00.000-05:00,45.0,43.0,97.0,30.11,1.0,SE,5.0,0.04,,Light Rain
C-28521902,0,40.769791,-73.988068,2022-05-19 15:36:00+00:00,2022-05-19 16:32:09+00:00,2.2300000190734863,0.0,4.0,Slow,Delays of four minutes and delays increasing on 10th Ave Northbound between NY-495 Lincoln Tunnel Expy and 58th St. Average speed ten mph.,W 58th St,New York,New York,NY,US,10019-1103,US/Eastern,KNYC,2022-05-19T11:51:00.000-04:00,56.0,56.0,93.0,29.66,7.0,VAR,5.0,0.0,,Cloudy
C-24225040,0,40.762138,-73.960136,2022-07-21 18:59:00+00:00,2022-07-21 19:40:08+00:00,1.2599999904632568,1.0,3.0,Slow,Delays of three minutes on 1st Ave Northbound between 48th St and 64th St. Average speed ten mph.,E 63rd St,New York,New York,NY,US,10065-7901,US/Eastern,KNYC,2022-07-21T14:51:00.000-04:00,79.0,79.0,90.0,29.55,6.0,VAR,5.0,0.0,,Partly Cloudy
C-30950151,1,40.753361,-73.985184,2022-04-01 16:08:00+00:00,2022-04-01 17:11:11+00:00,2.2799999713897705,0.0,5.0,Slow,Delays of five minutes and delays increasing on 6th Ave Northbound between 11th St and 40th St. Average speed ten mph.,Avenue of the Americas,New York,New York,NY,US,10018-5439,US/Eastern,KNYC,2022-04-01T11:51:00.000-04:00,55.0,55.0,49.0,29.5,10.0,VAR,6.0,0.0,,Mostly Cloudy
C-23581169,1,40.799225,-73.93306700000002,2022-04-14 18:19:00+00:00,2022-04-14 19:24:59+00:00,2.7699999809265137,4.0,5.0,Slow,Delays of five minutes and delays increasing on 1st Ave Northbound in East Harlem. Average speed ten mph.,1st Ave,New York,New York,NY,US,10035-3604,US/Eastern,KNYC,2022-04-14T13:51:00.000-04:00,77.0,77.0,43.0,29.62,10.0,NE,8.0,0.0,,Fair
C-9136901,0,40.767952,-73.98940999999998,2022-04-21 13:12:00+00:00,2022-04-21 13:56:08+00:00,2.059999942779541,1.0,4.0,Slow,Delays of four minutes on 10th Ave Northbound between NY-495 Lincoln Tunnel Expy and 56th St. Average speed ten mph.,W 55th St,New York,New York,NY,US,10019-4403,US/Eastern,KNYC,2022-04-21T08:51:00.000-04:00,49.0,47.0,59.0,30.41,10.0,VAR,6.0,0.0,,Fair
C-23553713,0,40.744061,-73.987747,2022-04-16 19:59:00+00:00,2022-04-16 20:39:58+00:00,0.7200000286102295,0.0,1.0,Moderate,Delays of one minute on 5th Ave Southbound between 36th St and 27th St. Average speed ten mph.,5th Ave,New York,New York,NY,US,10001-7717,US/Eastern,KNYC,2022-04-16T15:51:00.000-04:00,65.0,65.0,47.0,29.7,10.0,SE,6.0,0.0,,Fair
C-2184550,2,40.804783,-73.97135899999998,2022-05-25 19:20:00+00:00,2022-05-25 20:48:34+00:00,4.559999942779541,19.0,22.0,Slow,Severe delays of 22 minutes and delays easing on RT-9A Northbound between NY-9A 12th Ave and NY-9A Henry Hudson Pkwy. Average speed five mph.,Henry Hudson Pkwy,New York,New York,NY,US,10025,US/Eastern,KNYC,2022-05-25T14:51:00.000-04:00,68.0,,45.0,30.27,10.0,,,0.0,,Fair
C-14111931,0,40.745522,-73.97224399999998,2022-06-09 20:51:00+00:00,2022-06-09 21:34:15+00:00,1.350000023841858,0.0,2.0,Slow,Delays of two minutes on 1st Ave Northbound between 20th St and 37th St. Average speed ten mph.,1st Ave,New York,New York,NY,US,10016-0378,US/Eastern,KNYC,2022-06-09T16:51:00.000-04:00,77.0,77.0,48.0,29.53,10.0,WNW,8.0,0.0,,Mostly Cloudy
C-22591101,1,40.784561,-73.941788,2022-08-18 11:41:00+00:00,2022-08-18 12:21:40+00:00,1.830000042915344,1.0,1.0,Moderate,Delays of one minute on Fdr Dr Southbound between Exit 17 Harlem River Dr Exits 17 18 19 and Exit 14. Average speed 20 mph.,FDR Dr S,New York,New York,NY,US,10029,US/Eastern,KNYC,2022-08-18T07:51:00.000-04:00,67.0,67.0,66.0,29.84,10.0,VAR,3.0,0.0,,Fair
C-18993177,0,40.78199,-73.948746,2022-06-02 16:28:00+00:00,2022-06-02 17:10:03+00:00,1.6200000047683716,0.0,3.0,Slow,Delays of three minutes on 2nd Ave Southbound between 112th St and 92nd St. Average speed ten mph.,2nd Ave,New York,New York,NY,US,10128-5303,US/Eastern,KNYC,2022-06-02T12:51:00.000-04:00,77.0,77.0,71.0,29.64,10.0,VAR,3.0,0.0,,Fair
C-30952345,0,40.796642,-73.938019,2022-04-01 12:38:00+00:00,2022-04-01 13:18:53+00:00,1.5700000524520874,0.0,4.0,Slow,Delays of four minutes on 2nd Ave Southbound between Harlem River Dr Exits 17 18 19 and 115th St. Average speed ten mph.,2nd Ave,New York,New York,NY,US,10029-2202,US/Eastern,KNYC,2022-04-01T08:51:00.000-04:00,51.0,51.0,71.0,29.46,10.0,WNW,5.0,0.0,,Cloudy
C-1537649,0,40.752007,-73.981972,2022-08-31 14:16:00+00:00,2022-08-31 15:04:39+00:00,1.4900000095367432,1.0,4.0,Slow,Delays of four minutes and delays increasing on 5th Ave Southbound between 58th St and 39th St. Average speed five mph.,5th Ave,New York,New York,NY,US,10018-2794,US/Eastern,KNYC,2022-08-31T09:51:00.000-04:00,75.0,75.0,69.0,29.72,10.0,WNW,9.0,0.0,,Fair
