ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-513551,Source2,2,2022-09-07 16:14:08+00:00,2022-09-07 17:13:23+00:00,41.95723,-87.737442,,,0.0,Crash on I-90 Kennedy Expy Eastbound at Exit 43C Montrose Ave.,Kennedy Expy E,Chicago,Cook,IL,60641,US,US/Central,KORD,2022-09-07 15:51:00,80.0,80.0,45.0,29.37,10.0,ENE,10.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513552,Source2,2,2022-09-07 16:15:00+00:00,2022-09-07 17:14:35+00:00,41.964085,-87.745956,,,0.0,Crash on I-94 Edens Expy Eastbound at Exit 43A Wilson Ave.,Edens Expy N,Chicago,Cook,IL,60630,US,US/Central,KORD,2022-09-07 15:51:00,80.0,80.0,45.0,29.37,10.0,ENE,10.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513558,Source2,2,2022-09-07 17:25:14+00:00,2022-09-07 17:54:25+00:00,41.867565,-87.64475999999998,,,0.0,Crash on I-90 Dan Ryan Express Lane Eastbound at I-90 Dan Ryan Express Lane Exit 53C / I-90 Dan Ryan Expy Exits 52 / I-55 Exits 29.,Dan Ryan Expy E,Chicago,Cook,IL,60607,US,US/Central,KMDW,2022-09-07 17:53:00,79.0,79.0,42.0,29.42,10.0,NE,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513617,Source2,2,2022-09-07 16:25:46+00:00,2022-09-07 16:55:29+00:00,41.875839,-87.676773,,,0.0,Crash on I-290 Eisenhower Expy Westbound at Exits 27C 28A Van Buren St.,Eisenhower Expy,Chicago,Cook,IL,60612,US,US/Central,KMDW,2022-09-07 16:53:00,81.0,81.0,38.0,29.42,10.0,NNE,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513723,Source2,3,2022-09-07 13:32:21+00:00,2022-09-07 14:17:09+00:00,41.875835,-87.690926,,,0.0,Right lane blocked due to crash on I-290 Eisenhower Expy Southbound at Exit 27B Van Buren St.,W Van Buren St,Chicago,Cook,IL,60612,US,US/Central,KMDW,2022-09-07 13:53:00,81.0,81.0,44.0,29.46,10.0,ENE,9.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513762,Source2,3,2022-09-07 12:23:17+00:00,2022-09-07 13:25:02+00:00,41.871792,-87.744827,,,0.0,Lane blocked due to crash on I-290 Eisenhower Expy Westbound after Exit 25 Congress Pkwy.,Eisenhower Expy,Chicago,Cook,IL,60644,US,US/Central,KMDW,2022-09-07 12:53:00,81.0,81.0,44.0,29.47,10.0,ENE,12.0,0.0,Partly Cloudy,False,False,True,False,False,False,True,False,True,False,False,True,False,Day,Day,Day,Day
A-513764,Source2,3,2022-09-07 12:10:12+00:00,2022-09-07 12:39:59+00:00,41.925976,-87.68445600000004,,,0.0,Lane blocked due to crash on I-90 Kennedy Expy Eastbound at Exit 47A Fullerton Ave.,I-90 Express Lane,Chicago,Cook,IL,60647,US,US/Central,KMDW,2022-09-07 11:53:00,79.0,79.0,45.0,29.49,10.0,ENE,10.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513829,Source2,3,2022-09-07 03:50:15+00:00,2022-09-07 04:20:40+00:00,41.829338,-87.704567,,,0.0,Lane blocked due to crash on I-55 Stevenson Expy Northbound at Exits 288 289 California Ave.,S Kedzie Ave,Chicago,Cook,IL,60632,US,US/Central,KMDW,2022-09-07 03:53:00,70.0,70.0,81.0,29.46,10.0,NNW,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-513902,Source2,3,2022-09-07 08:56:05+00:00,2022-09-07 09:25:38+00:00,41.660538,-87.588875,,,0.0,Lane blocked due to crash on I-94 Bishop Ford Fwy Westbound at Exit 68 130th St.,Bishop Ford Fwy W,Chicago,Cook,IL,60633,US,US/Central,KGYY,2022-09-07 08:45:00,72.0,72.0,73.0,29.54,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513927,Source2,3,2022-09-07 08:18:43+00:00,2022-09-07 09:03:39+00:00,41.857704,-87.64415699999998,,,0.0,Lane blocked due to crash on I-90 Dan Ryan Express Lane Westbound at Exit 52 18th St.,Dan Ryan Expy W,Chicago,Cook,IL,60616,US,US/Central,KMDW,2022-09-07 07:53:00,71.0,71.0,75.0,29.5,10.0,NNW,8.0,0.0,Mostly Cloudy,False,False,True,False,True,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-513928,Source2,3,2022-09-07 08:27:23+00:00,2022-09-07 08:56:36+00:00,41.859779,-87.641052,,,2.470000028610229,Lane blocked due to crash on I-55 Northbound between Exit 290 Damen Ave and Exit 292 I-90 Dan Ryan Expy.,W 16th St,Chicago,Cook,IL,60616-1146,US,US/Central,KMDW,2022-09-07 08:53:00,72.0,72.0,71.0,29.5,10.0,N,6.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513929,Source2,3,2022-09-07 08:53:21+00:00,2022-09-07 09:22:52+00:00,41.873402,-87.7332,,,0.0,Lane blocked due to crash on I-290 Eisenhower Expy Eastbound at Exit 25 Kostner Ave.,W Harrison St,Chicago,Cook,IL,60624,US,US/Central,KMDW,2022-09-07 08:53:00,72.0,72.0,71.0,29.5,10.0,N,6.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513937,Source2,3,2022-09-07 08:30:24+00:00,2022-09-07 08:59:47+00:00,41.875542,-87.645287,,,0.0,Lane blocked due to crash on I-90 Dan Ryan Express Lane Westbound at Exit 51 I-290.,Kennedy Expy W,Chicago,Cook,IL,60607,US,US/Central,KMDW,2022-09-07 08:53:00,72.0,72.0,71.0,29.5,10.0,N,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514043,Source2,1,2022-09-07 08:25:50+00:00,2022-09-07 08:55:43+00:00,41.913288,-87.631737,,,0.0,Crash on Stockton Dr at IL-64.,N Stockton Dr,Chicago,Cook,IL,60614,US,US/Central,KMDW,2022-09-07 08:53:00,72.0,72.0,71.0,29.5,10.0,N,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-514063,Source2,1,2022-09-07 08:14:07+00:00,2022-09-07 08:59:30+00:00,41.879021,-88.244263,,,0.0,Crash on CR-18 Kress Rd at IL-38 Roosevelt Rd.,W Roosevelt Rd,West Chicago,DuPage,IL,60185-6005,US,US/Central,KDPA,2022-09-07 07:52:00,65.0,65.0,87.0,29.36,8.0,NNW,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,True,False,True,False,Day,Day,Day,Day
A-514076,Source2,1,2022-09-07 08:32:03+00:00,2022-09-07 09:01:55+00:00,41.75182,-87.58602900000002,,,0.0,Crash on South Chicago Ave at Stony Island Ave.,S Stony Island Ave,Chicago,Cook,IL,60619,US,US/Central,KMDW,2022-09-07 08:53:00,72.0,72.0,71.0,29.5,10.0,N,6.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-514088,Source2,1,2022-09-07 08:38:57+00:00,2022-09-07 09:08:00+00:00,41.88448,-87.624413,,,0.0,Crash bicyclist involved on Michigan Ave near Randolph St.,N Michigan Ave,Chicago,Cook,IL,60601,US,US/Central,KMDW,2022-09-07 08:53:00,72.0,72.0,71.0,29.5,10.0,N,6.0,0.0,Partly Cloudy,True,False,True,False,False,False,True,False,True,False,False,True,False,Day,Day,Day,Day
A-514089,Source2,1,2022-09-07 08:20:51+00:00,2022-09-07 09:06:11+00:00,41.932098,-87.697601,,,0.0,Crash on Diversey Ave at California Ave.,N California Ave,Chicago,Cook,IL,60647-1735,US,US/Central,KMDW,2022-09-07 07:53:00,71.0,71.0,75.0,29.5,10.0,NNW,8.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-514110,Source2,3,2022-09-07 07:53:12+00:00,2022-09-07 08:22:56+00:00,41.817348,-87.74282099999998,,,0.0,Lane blocked due to crash on I-55 Stevenson Expy Southbound at Exit 286 IL-50 Cicero Ave.,Adlai E Stevenson Expy N,Chicago,Cook,IL,60632,US,US/Central,KMDW,2022-09-07 07:53:00,71.0,71.0,75.0,29.5,10.0,NNW,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514155,Source2,3,2022-09-07 07:47:22+00:00,2022-09-07 08:32:28+00:00,41.954742,-87.73266600000002,,,0.0,Lane blocked due to crash on I-90 Kennedy Expy Eastbound at Exit 44A IL-19 Irving Park Rd.,I-90 Express Lane,Chicago,Cook,IL,60641,US,US/Central,KORD,2022-09-07 07:51:00,67.0,67.0,81.0,29.44,10.0,N,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514168,Source2,3,2022-09-07 07:34:02+00:00,2022-09-07 08:34:32+00:00,41.98233,-87.814194,,,0.0,Lane blocked due to crash on I-90 Kennedy Expy Eastbound near Exit 81A IL-72 Higgins Ave.,I-90,Chicago,Cook,IL,60631,US,US/Central,KORD,2022-09-07 07:51:00,67.0,67.0,81.0,29.44,10.0,N,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514362,Source2,3,2022-09-07 06:11:10+00:00,2022-09-07 06:55:50+00:00,41.688717,-87.599983,,,0.0,Lane blocked due to crash on I-94 Bishop Ford Fwy Westbound at Exit 66 111th St.,Bishop Ford Fwy W,Chicago,Cook,IL,60628,US,US/Central,KMDW,2022-09-07 05:53:00,69.0,69.0,84.0,29.47,10.0,NNW,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-514363,Source2,1,2022-09-07 06:49:12+00:00,2022-09-07 07:19:07+00:00,41.87569000000001,-87.62603,,,0.0,Crash on Ida B Wells Dr at Wabash Ave.,S Wabash Ave,Chicago,Cook,IL,60605-1209,US,US/Central,KMDW,2022-09-07 06:53:00,69.0,69.0,81.0,29.48,8.0,NW,3.0,0.0,Partly Cloudy,True,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-514453,Source2,1,2022-09-07 05:55:50+00:00,2022-09-07 06:41:13+00:00,41.759998,-87.753563,,,0.0,Crash motorcycle involved on 73rd St at Lockwood Ave.,S Lockwood Ave,Chicago,Cook,IL,60638,US,US/Central,KMDW,2022-09-07 05:53:00,69.0,69.0,84.0,29.47,10.0,NNW,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Day,Day,Day
A-514489,Source2,3,2022-09-07 04:59:47+00:00,2022-09-07 05:29:26+00:00,41.809361,-87.631424,,,0.0,Lane blocked due to crash on I-90 Dan Ryan Express Lane Westbound at Exit 46 47th St.,I-90 Express Lane,Chicago,Cook,IL,60609,US,US/Central,KMDW,2022-09-07 04:53:00,68.0,68.0,87.0,29.46,10.0,NW,6.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,True,False,False,True,False,Night,Night,Night,Day
A-514876,Source2,2,2022-09-06 05:00:15+00:00,2022-09-06 06:01:14+00:00,41.848541,-87.61348000000002,,,0.0,Left lane blocked due to crash on US-41 Jean Baptiste Pointe Dusable Lk Shr Dr Southbound at I-55 Stevenson Expy.,MC 8th Dr,Chicago,Cook,IL,60616,US,US/Central,KMDW,2022-09-06 04:53:00,71.0,71.0,78.0,29.41,10.0,N,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-514877,Source2,3,2022-09-06 04:31:09+00:00,2022-09-06 05:32:26+00:00,41.871059,-87.764015,,,0.0,Lane blocked due to crash on I-290 Eisenhower Expy Eastbound at Exit 23B Central Ave.,Chicago-Kansas City Expressway E,Chicago,Cook,IL,60644,US,US/Central,KMDW,2022-09-06 04:53:00,71.0,71.0,78.0,29.41,10.0,N,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-515264,Source2,3,2022-09-06 08:12:27+00:00,2022-09-06 08:42:02+00:00,41.871693,-87.754272,,,0.0,Lane blocked due to crash on I-290 Eisenhower Expy Westbound at Exit 24 Laramie Ave.,Eisenhower Expy W,Chicago,Cook,IL,60644,US,US/Central,KMDW,2022-09-06 08:00:00,73.0,73.0,76.0,29.45,10.0,E,9.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-515358,Source2,3,2022-09-06 09:37:20+00:00,2022-09-06 10:07:04+00:00,41.91813300000001,-87.670975,,,0.0,Lane blocked due to crash on I-90 Kennedy Expy Eastbound at Exit 48A Armitage Ave.,I-90 E,Chicago,Cook,IL,60614,US,US/Central,KMDW,2022-09-06 09:53:00,75.0,75.0,71.0,29.47,10.0,VAR,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-515380,Source2,3,2022-09-06 05:51:54+00:00,2022-09-06 06:21:24+00:00,41.715607,-87.62530500000004,,,2.8299999237060547,Lane blocked due to crash on I-94 Bishop Ford Fwy Westbound between Exit 65 Stony Island Ext and Exit 63 I-57.,Bishop Ford Fwy,Chicago,Cook,IL,60628,US,US/Central,KMDW,2022-09-06 05:53:00,71.0,71.0,78.0,29.42,10.0,N,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-515397,Source2,3,2022-09-06 08:57:01+00:00,2022-09-06 09:26:22+00:00,41.94133400000001,-87.712349,,,0.0,Lane blocked due to crash on I-90 Kennedy Expy Westbound at Exit 45 Kimball Ave.,Kennedy Expy W,Chicago,Cook,IL,60618,US,US/Central,KORD,2022-09-06 08:51:00,71.0,71.0,81.0,29.4,10.0,N,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-515398,Source2,3,2022-09-06 07:44:43+00:00,2022-09-06 08:30:38+00:00,41.950802,-87.72551700000002,,,0.0,Lane blocked due to crash on I-90 Kennedy Expy Westbound at Exit 44B Pulaski Rd.,I-90 Express Lane,Chicago,Cook,IL,60618,US,US/Central,KORD,2022-09-06 07:51:00,68.0,68.0,87.0,29.4,10.0,N,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-515489,Source3,1,2022-09-06 07:36:57+00:00,2022-09-06 08:06:47+00:00,41.877525,-88.194695,,,0.0,Crash on IL-59 Neltnor Blvd at Blair St.,S Neltnor Blvd,West Chicago,DuPage,IL,60185,US,US/Central,KDPA,2022-09-06 07:52:00,68.0,68.0,87.0,29.31,10.0,N,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-515490,Source2,1,2022-09-06 08:23:07+00:00,2022-09-06 09:08:14+00:00,41.910919,-87.648262,,,0.0,Crash on IL-64 North Ave at Halsted St.,W North Ave,Chicago,Cook,IL,60610-1012,US,US/Central,KMDW,2022-09-06 08:00:00,73.0,73.0,76.0,29.45,10.0,E,9.0,0.0,Cloudy,True,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-515521,Source2,3,2022-09-06 07:45:35+00:00,2022-09-06 08:30:40+00:00,41.694263,-87.659653,,,3.0999999046325684,Lane blocked due to crash on I-57 Southbound between Exit 357 98th Pl and Exit 355 111th St.,W 110th St,Chicago,Cook,IL,60643-3620,US,US/Central,KMDW,2022-09-06 07:53:00,73.0,73.0,76.0,29.45,10.0,E,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-515537,Source2,1,2022-09-06 07:47:41+00:00,2022-09-06 08:33:05+00:00,41.93515,-87.717331,,,0.0,Crash on Milwaukee Ave at Central Park Ave.,N Central Park Ave,Chicago,Cook,IL,60618-7284,US,US/Central,KORD,2022-09-06 07:51:00,68.0,68.0,87.0,29.4,10.0,N,5.0,0.0,Cloudy,True,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-515657,Source2,3,2022-09-06 06:49:54+00:00,2022-09-06 07:34:36+00:00,41.837051,-87.67531600000002,,,0.0,Lane blocked due to crash on I-55 Stevenson Expy Northbound at Exit 290 Damen Ave.,Stevenson Expy N,Chicago,Cook,IL,60608,US,US/Central,KMDW,2022-09-06 06:53:00,71.0,71.0,78.0,29.45,9.0,NE,3.0,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-515756,Source2,1,2022-09-06 07:03:20+00:00,2022-09-06 07:33:12+00:00,41.90781,-87.63157700000002,,,0.0,Crash on Schiller St at Clark St.,W Schiller St,Chicago,Cook,IL,60610-2009,US,US/Central,KMDW,2022-09-06 06:53:00,71.0,71.0,78.0,29.45,9.0,NE,3.0,0.0,Cloudy,True,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-515874,Source2,3,2022-09-06 06:49:12+00:00,2022-09-06 07:18:47+00:00,41.830818,-87.69976,,,0.0,Lane blocked due to crash on I-55 Stevenson Expy Northbound at Exit 288 California Ave.,Stevenson Expy S,Chicago,Cook,IL,60623,US,US/Central,KMDW,2022-09-06 06:53:00,71.0,71.0,78.0,29.45,9.0,NE,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-515894,Source2,3,2022-09-06 06:06:36+00:00,2022-09-06 07:06:33+00:00,41.688717,-87.599983,,,0.0,Lane blocked due to crash on I-94 Bishop Ford Fwy Westbound at Exit 66 111th St.,Bishop Ford Fwy W,Chicago,Cook,IL,60628,US,US/Central,KMDW,2022-09-06 05:53:00,71.0,71.0,78.0,29.42,10.0,N,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-515947,Source2,3,2022-09-06 05:45:09+00:00,2022-09-06 06:29:59+00:00,41.875839,-87.676567,,,0.0,Three lanes blocked due to crash on I-290 Eisenhower Expy Westbound at Exit 28 Damen Ave.,Eisenhower Expy,Chicago,Cook,IL,60612,US,US/Central,KMDW,2022-09-06 05:53:00,71.0,71.0,78.0,29.42,10.0,N,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Day,Day
A-516612,Source2,3,2022-09-05 08:06:27+00:00,2022-09-05 08:36:12+00:00,41.871063,-87.77377299999998,,,0.0,Lane blocked due to crash on I-290 Eisenhower Expy Eastbound at Exit 23A Austin Blvd.,23A,Chicago,Cook,IL,60644,US,US/Central,KMDW,2022-09-05 07:53:00,70.0,70.0,76.0,29.41,10.0,NNE,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-516622,Source2,3,2022-09-05 07:09:45+00:00,2022-09-05 07:54:31+00:00,41.710411,-87.590187,,,0.0,Lane blocked due to crash on I-94 Bishop Ford Fwy Eastbound at Exit 65 103rd St.,S Woodlawn Ave,Chicago,Cook,IL,60628-1645,US,US/Central,KMDW,2022-09-05 06:53:00,69.0,69.0,78.0,29.4,10.0,NNE,13.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
