ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-520209,Source2,1,2022-09-01 06:53:13+00:00,2022-09-01 07:22:57+00:00,40.760616,-73.956879,,,0.0,Crash on Fdr Dr at Exit 12 63rd St.,FDR Dr S,New York,New York,NY,10065,US,US/Eastern,KNYC,2022-09-01 06:51:00,69.0,69.0,61.0,29.82,10.0,VAR,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-520405,Source2,2,2022-08-31 20:40:50+00:00,2022-08-31 21:10:31+00:00,40.751789,-74.008034,,,0.0,Left lane blocked due to crash on NY-9A 12th Ave Southbound at 26th St.,W 26th St,New York,New York,NY,10001,US,US/Eastern,KNYC,2022-08-31 20:51:00,77.0,77.0,34.0,29.75,10.0,WNW,5.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-520434,Source2,2,2022-08-31 19:55:27+00:00,2022-08-31 20:24:52+00:00,40.832645,-73.95034799999998,,,0.0,Two left lane blocked due to crash on NY-9A Henry Hudson Pkwy Southbound at Exit 13 158th St.,Henry Hudson Pkwy S,New York,New York,NY,10031,US,US/Eastern,KNYC,2022-08-31 19:51:00,78.0,78.0,32.0,29.73,10.0,VAR,3.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-520840,Source2,2,2022-08-31 13:23:20+00:00,2022-08-31 14:09:40+00:00,40.779694,-73.943901,,,0.0,Right lane blocked due to crash on Fdr Dr Northbound at 92nd St.,FDR Dr S,New York,New York,NY,10128,US,US/Eastern,KNYC,2022-08-31 13:51:00,82.0,82.0,37.0,29.69,10.0,W,8.0,0.0,Partly Cloudy,False,False,False,True,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-520905,Source3,2,2022-08-31 10:40:04+00:00,2022-08-31 11:09:47+00:00,40.779694,-73.943901,,,0.0,Two lanes blocked due to crash on Fdr Dr Northbound at 92nd St.,FDR Dr S,New York,New York,NY,10128,US,US/Eastern,KNYC,2022-08-31 10:51:00,77.0,77.0,62.0,29.71,10.0,VAR,6.0,0.0,Fair,False,False,False,True,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-521701,Source2,2,2022-08-30 21:04:11+00:00,2022-08-30 22:02:17+00:00,40.798958,-73.92942,,,0.0,Two lanes blocked due to crash on Fdr Dr at Harlem River Dr Exits 17 18 19.,,New York,New York,NY,10035,US,US/Eastern,KNYC,2022-08-30 20:51:00,79.0,79.0,77.0,29.66,10.0,VAR,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-521869,Source2,2,2022-08-30 17:53:30+00:00,2022-08-30 18:37:52+00:00,40.756821,-73.95431500000002,,,0.0,Right lane blocked due to crash on Queensboro Brg Westbound at NY-25A Jackson Ave.,Queensboro Brg-Upper Level,New York,New York,NY,10044,US,US/Eastern,KNYC,2022-08-30 17:51:00,82.0,82.0,62.0,29.67,10.0,VAR,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-524519,Source2,3,2022-08-28 12:08:55+00:00,2022-08-28 12:53:23+00:00,40.847923,-73.942825,,,1.8999999761581416,Right lane closed due to crash on I-95 George Washington Bridge ( upper level ) Northbound from Exit 72 / New Jersey to Exit 1 / New York.,Riverside Dr,New York,New York,NY,10032,US,US/Eastern,KNYC,2022-08-28 11:51:00,78.0,78.0,66.0,30.09,10.0,ENE,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-524521,Source2,2,2022-08-28 12:14:23+00:00,2022-08-28 12:58:51+00:00,40.757122,-73.99640699999998,,,1.6799999475479126,Right lane closed due to crash on NY-495 Lincoln Tunnel Expy Eastbound from NJ-495 to Dyer Ave.,Lincoln Tunnel Expy,New York,New York,NY,10018,US,US/Eastern,KNYC,2022-08-28 11:51:00,78.0,78.0,66.0,30.09,10.0,ENE,8.0,0.0,Cloudy,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-524748,Source2,3,2022-08-27 16:27:25+00:00,2022-08-27 16:56:44+00:00,40.796959,-73.922264,,,0.0,Two lanes blocked due to crash on I-278 Robert F Kennedy Brg Northbound after Exit 46 Central Rd.,Central Rd,New York,New York,NY,10035-1161,US,US/Eastern,KNYC,2022-08-27 16:51:00,86.0,86.0,44.0,29.89,10.0,VAR,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-524750,Source2,3,2022-08-27 15:40:10+00:00,2022-08-27 16:25:41+00:00,40.847946,-73.942787,,,0.0,Right lane blocked due to crash on I-95 George Washington Bridge Southbound on New York side.,Haven Ave,New York,New York,NY,10033-5312,US,US/Eastern,KNYC,2022-08-27 15:51:00,89.0,89.0,35.0,29.88,10.0,WNW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-524763,Source3,2,2022-08-27 14:53:58+00:00,2022-08-27 15:38:38+00:00,40.782681,-73.943413,,,0.0,Two lanes blocked due to crash on Fdr Dr Southbound at Exit 14 96th St.,E 96th St,New York,New York,NY,10128,US,US/Eastern,KNYC,2022-08-27 14:51:00,89.0,89.0,36.0,29.89,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-526446,Source2,3,2022-08-25 22:21:45+00:00,2022-08-25 22:50:48+00:00,40.7528,-73.964119,,,0.6700000166893005,Two lanes blocked due to crash on Fdr Dr Northbound from Exit 9 42nd St to Exit 10 48th St.,FDR Dr S,New York,New York,NY,10022,US,US/Eastern,KNYC,2022-08-25 22:51:00,79.0,79.0,47.0,29.92,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-526499,Source2,2,2022-08-25 21:02:56+00:00,2022-08-25 21:43:48+00:00,40.784561,-73.941788,,,0.0,Left lane blocked due to crash on Fdr Dr Northbound at Exit 14.,FDR Dr S,New York,New York,NY,10029,US,US/Eastern,KNYC,2022-08-25 20:51:00,80.0,80.0,50.0,29.93,10.0,VAR,5.0,0.0,Fair,False,False,True,False,True,False,False,False,False,True,False,False,False,Night,Night,Night,Day
A-526711,Source2,2,2022-08-25 16:27:49+00:00,2022-08-25 17:12:17+00:00,40.70837,-73.999062,,,0.0,One lane blocked due to crash on Fdr Dr Southbound before Exit 2 Robert F Wagner Sr Pl.,FDR Dr S,New York,New York,NY,10038,US,US/Eastern,KJRB,2022-08-25 16:51:00,88.0,88.0,34.0,29.9,10.0,VAR,3.0,0.0,Fair,False,False,False,False,True,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-527126,Source2,2,2022-08-25 11:24:38+00:00,2022-08-25 12:09:23+00:00,40.706535,-73.99754300000002,,,0.0,Right lane blocked due to crash on Brooklyn Brg Westbound at Center Span.,Brooklyn Brg,New York,New York,NY,10038,US,US/Eastern,KJRB,2022-08-25 11:51:00,87.0,87.0,36.0,29.95,10.0,WNW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-527127,Source2,3,2022-08-25 10:24:32+00:00,2022-08-25 11:09:10+00:00,40.847946,-73.942787,,,0.0,Right lane blocked due to crash on I-95 \tGeorge Washington Bridge Lower Level Northbound at Lower Trans Manhattan Expy.,Haven Ave,New York,New York,NY,10033-5312,US,US/Eastern,KNYC,2022-08-25 10:51:00,84.0,84.0,38.0,29.96,10.0,N,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-530456,Source2,2,2022-08-22 12:33:48+00:00,2022-08-22 13:03:29+00:00,40.742432,-74.008881,,,0.0,Centre lane blocked due to crash on NY-9A 11th Ave Southbound before 14th St.,West St,New York,New York,NY,10014,US,US/Eastern,KJRB,2022-08-22 12:38:00,73.0,73.0,96.0,29.82,1.0,CALM,0.0,0.17,Light Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-531199,Source2,2,2022-08-22 06:08:50+00:00,2022-08-22 07:08:45+00:00,40.832645,-73.95034799999998,,,0.0,Two lanes blocked and queueing traffic due to crash on NY-9A Southbound near 158th St.,Henry Hudson Pkwy S,New York,New York,NY,10031,US,US/Eastern,KNYC,2022-08-22 05:51:00,73.0,73.0,90.0,29.87,10.0,VAR,3.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-531238,Source2,2,2022-08-22 04:45:49+00:00,2022-08-22 05:14:22+00:00,40.769402,-73.994858,,,0.0,Two lanes blocked due to crash on NY-9A Southbound between 72nd St and 55th St.,12th Ave,New York,New York,NY,10019,US,US/Eastern,KNYC,2022-08-22 04:41:00,73.0,73.0,90.0,29.87,10.0,VAR,5.0,0.0,Light Rain,False,False,True,False,True,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-531926,Source2,3,2022-08-19 22:54:53+00:00,2022-08-19 23:38:20+00:00,40.719482,-73.974838,,,0.0,Two lanes blocked due to crash on Fdr Dr Southbound at Exit 5 Houston St.,FDR Dr S,New York,New York,NY,10009,US,US/Eastern,KJRB,2022-08-19 22:51:00,78.0,,60.0,30.0,10.0,,,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-531952,Source2,2,2022-08-19 21:38:23+00:00,2022-08-19 22:22:59+00:00,40.709816,-73.991241,,,0.0,Two lanes blocked due to crash on Fdr Dr Southbound at Exit 3.,FDR Dr S,New York,New York,NY,10002,US,US/Eastern,KJRB,2022-08-19 21:51:00,78.0,78.0,60.0,29.99,10.0,SSW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-532097,Source2,3,2022-08-18 23:19:10+00:00,2022-08-19 01:46:18+00:00,40.845528,-73.928223,,,0.0,Right lane blocked due to crash on I-95 Cross Bronx Expy Northbound at I-95 Cross Bronx Expy Exits 1C.,Cross Bronx Expy,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-08-18 22:51:00,72.0,72.0,68.0,29.86,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-533701,Source2,2,2022-08-18 13:13:39+00:00,2022-08-18 13:42:37+00:00,40.83765,-73.948364,,,0.0,Left lane blocked due to crash on NY-9A Henry Hudson Pkwy Northbound before Exit 14 I-95.,Henry Hudson Pkwy,New York,New York,NY,10032,US,US/Eastern,KNYC,2022-08-18 12:51:00,84.0,84.0,35.0,29.79,10.0,VAR,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-533743,Source2,3,2022-08-18 14:42:34+00:00,2022-08-18 15:11:51+00:00,40.849895,-73.94390899999998,,,0.0,Left lane closed due to crash on I-95 George Washington Bridge Northbound at Upper Level Exit 1A.,George Washington Bridge,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-08-18 14:51:00,85.0,85.0,33.0,29.77,10.0,VAR,6.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-534570,Source2,2,2022-08-17 19:11:14+00:00,2022-08-17 20:25:44+00:00,40.871887,-73.928917,,,0.0,Two right lane blocked due to crash on NY-9A Henry Hudson Pkwy Northbound at Exit 17 Riverside Dr.,Henry Hudson Pkwy,New York,New York,NY,10034,US,US/Eastern,KLGA,2022-08-17 18:51:00,79.0,79.0,39.0,29.9,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-534742,Source2,3,2022-08-17 15:20:56+00:00,2022-08-17 15:49:25+00:00,40.851479,-73.951378,,,0.0,Center lane blocked due to crash on I-95 George Washington Bridge Southbound at Exit 1 NY-9A Henry Hudson Pkwy Exits 14 15.,George Washington Brg Lower Level,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-08-17 14:51:00,78.0,78.0,43.0,29.88,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-534933,Source3,3,2022-08-17 11:00:21+00:00,2022-08-17 11:29:58+00:00,40.796959,-73.922264,,,0.0,Two lanes blocked due to crash on I-278 Robert F Kennedy Brg Southbound at Exit 46 Central Rd.,Central Rd,New York,New York,NY,10035-1161,US,US/Eastern,KNYC,2022-08-17 10:51:00,73.0,73.0,49.0,29.94,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-535084,Source2,3,2022-08-17 09:14:53+00:00,2022-08-17 09:59:35+00:00,40.851002,-73.949608,,,0.0,Center lane blocked due to crash on I-95 \tGeorge Washington Bridge Lower Level Northbound at New York Side.,George Washington Brg,New York,New York,NY,10032,US,US/Eastern,KNYC,2022-08-17 08:51:00,72.0,72.0,57.0,29.94,10.0,NE,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-535587,Source2,2,2022-08-16 03:08:58+00:00,2022-08-16 03:38:13+00:00,40.794254,-73.931412,,,0.0,Left lane blocked due to crash on Fdr Dr Northbound at Exit 16 116th St.,FDR Dr S,New York,New York,NY,10035,US,US/Eastern,KNYC,2022-08-16 02:51:00,68.0,68.0,68.0,29.9,10.0,VAR,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-535826,Source2,3,2022-08-16 17:29:02+00:00,2022-08-16 17:58:29+00:00,40.845711,-73.931686,,,0.0,Right lane blocked due to crash on I-95 Cross Bronx Expy Northbound at Exits 2 3 Harlem River Dr Exit 24.,Cross Bronx Expy,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-08-16 17:51:00,81.0,81.0,38.0,29.88,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-536042,Source2,3,2022-08-16 13:48:27+00:00,2022-08-16 14:17:46+00:00,40.851341,-73.951355,,,0.0,Closed lane closed due to crash on I-95 George Washington Bridge Northbound at Upper Level Trans Manhattan Expressway.,George Washington Bridge,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-08-16 13:51:00,82.0,82.0,35.0,29.92,10.0,E,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-536163,Source2,3,2022-08-16 11:05:23+00:00,2022-08-16 11:50:02+00:00,40.847946,-73.942787,,,0.0,Left lane blocked due to crash on I-95 George Washington Bridge Southbound at Upper Trans Manhattan Expy.,Haven Ave,New York,New York,NY,10033-5312,US,US/Eastern,KNYC,2022-08-16 10:51:00,74.0,74.0,45.0,29.94,10.0,ENE,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-536270,Source2,3,2022-08-16 09:37:19+00:00,2022-08-16 10:06:38+00:00,40.84613,-73.943253,,,0.8199999928474426,Exit ramp from I-95 George Washington Bridge Upper Level Eastbound to NY-9A lane blocked due to crash.,Riverside Dr,New York,New York,NY,10032,US,US/Eastern,KNYC,2022-08-16 09:51:00,74.0,74.0,50.0,29.94,10.0,ENE,14.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-536404,Source2,2,2022-08-16 07:20:39+00:00,2022-08-16 08:20:45+00:00,40.759647,-73.95785500000002,,,0.0,Right lane blocked due to crash on FDR Dr Northbound around 61st St.,FDR Dr N,New York,New York,NY,10065,US,US/Eastern,KNYC,2022-08-16 06:51:00,66.0,66.0,78.0,29.91,10.0,CALM,0.0,0.0,Fair,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-537595,Source2,3,2022-08-14 17:31:00+00:00,2022-08-14 17:59:27+00:00,40.847946,-73.942787,,,1.8999999761581416,Center lane blocked due to crash on I-95 George Washinton Bridge lower level Northbound between New Jersey Side and New York Side.,Haven Ave,New York,New York,NY,10033-5312,US,US/Eastern,KNYC,2022-08-14 17:51:00,78.0,78.0,36.0,29.92,10.0,SSE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-537812,Source2,2,2022-08-13 04:36:43+00:00,2022-08-13 07:00:57+00:00,40.832645,-73.95034799999998,,,0.0,Two lanes blocked due to crash on NY-9A Henry Hudson Pkwy Southbound at NY-9A Henry Hudson Pkwy Exit 13 / Henry Hudson Pkwy.,Henry Hudson Pkwy S,New York,New York,NY,10031,US,US/Eastern,KNYC,2022-08-13 04:51:00,67.0,67.0,54.0,29.99,10.0,VAR,3.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-538266,Source2,3,2022-08-12 19:30:54+00:00,2022-08-12 19:57:56+00:00,40.850666,-73.94789899999998,,,0.0,Right lane blocked due to crash on I-95 George Washington Bridge Southbound at Exit 1 NY-9A Henry Hudson Pkwy Exits 14 15.,George Washington Bridge,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-08-12 19:51:00,81.0,81.0,26.0,29.9,10.0,VAR,7.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-538539,Source2,3,2022-08-12 13:54:00+00:00,2022-08-12 14:38:14+00:00,40.849289,-73.94148299999998,,,0.0,Left lane blocked due to crash on I-95 George Washington Bridge Lower Level Northbound at Lower Trans Manhattan Expressway.,Cross Bronx Expy,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-08-12 13:51:00,83.0,83.0,28.0,29.89,10.0,ENE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-538717,Source2,2,2022-08-12 09:50:45+00:00,2022-08-12 10:36:13+00:00,40.82862100000001,-73.934898,,,0.0,Lane blocked due to crash on Harlem River Dr Southbound at Harlem Dr Service Rd.,Harlem River Dr S,New York,New York,NY,10039,US,US/Eastern,KNYC,2022-08-12 09:51:00,74.0,74.0,52.0,29.91,10.0,NE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-539715,Source2,2,2022-08-11 15:27:06+00:00,2022-08-11 15:55:48+00:00,40.850174,-73.94475600000001,,,0.0,Two right lane blocked due to crash on NY-9A Henry Hudson Pkwy Westbound near I-95 George Washington Bridge Exit 1 // NY-9A Henry Hudson Pkwy Exits 14.,George Washington Bridge,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-08-11 15:51:00,89.0,89.0,29.0,29.75,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-540366,Source2,2,2022-08-11 07:07:28+00:00,2022-08-11 07:36:03+00:00,40.851463,-73.951988,,,0.0,Left lane blocked due to crash on George Washington Bridge Lower Level Eastbound after NY-9A.,George Washington Bridge,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-08-11 06:51:00,74.0,74.0,91.0,29.83,5.0,N,3.0,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-540688,Source2,3,2022-08-10 17:31:38+00:00,2022-08-10 18:00:14+00:00,40.847946,-73.942787,,,0.0,Right lane blocked due to crash on I-95 George Washington Bridge Northbound at I-95 George Washington Bridge Exit 1.,Haven Ave,New York,New York,NY,10033-5312,US,US/Eastern,KNYC,2022-08-10 17:51:00,83.0,83.0,56.0,29.87,10.0,VAR,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-540754,Source2,2,2022-08-10 14:37:36+00:00,2022-08-10 15:07:02+00:00,40.839455,-73.946861,,,0.0,Right lane blocked due to crash on NY-9A Henry Hudson Pkwy Southbound at 163rd St.,Henry Hudson Pkwy,New York,New York,NY,10032,US,US/Eastern,KNYC,2022-08-10 14:51:00,87.0,87.0,44.0,29.92,10.0,VAR,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-541419,Source2,2,2022-08-10 06:22:17+00:00,2022-08-10 07:06:20+00:00,40.848339,-73.936676,,,0.0,Center lane blocked due to crash on George Washington Bridge Upper Level Eastbound near US-9.,Cross Bronx Expy,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-08-10 06:51:00,75.0,75.0,66.0,29.95,10.0,VAR,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-542486,Source3,2,2022-08-09 08:30:59+00:00,2022-08-09 09:18:56+00:00,40.850471,-73.946251,,,0.0,Left lane blocked due to crash on George Washington Bridge Lower Level Westbound near Henry Hudson Pkwy.,George Washington Bridge,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-08-09 06:51:00,82.0,82.0,76.0,29.82,10.0,WSW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-542943,Source2,3,2022-08-08 16:28:25+00:00,2022-08-08 17:28:10+00:00,40.70644,-74.002403,,,0.7699999809265137,Exit ramp from Fdr Dr Eastbound at Exit 2 to Brooklyn Br. Southbound lane blocked due to crash.,FDR Dr N,New York,New York,NY,10038,US,US/Eastern,KJRB,2022-08-08 16:51:00,92.0,92.0,45.0,29.81,10.0,VAR,3.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-543125,Source2,3,2022-08-08 13:36:13+00:00,2022-08-08 14:05:46+00:00,40.850971,-73.949463,,,0.0,Two lanes blocked due to crash on I-95 George Washington Bridge Southbound at upper Level Mid Span.,George Washington Bridge,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-08-08 13:51:00,91.0,,55.0,29.86,10.0,,,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
